125 14368
1 2 18
2 3 14
3 4 4
4 5 13
5 6 17
6 7 7
7 8 11
8 9 4
9 10 7
10 11 12
11 12 2
12 13 17
13 14 5
14 15 13
15 16 18
16 17 19
17 18 8
18 19 14
19 20 5
20 21 11
21 22 20
22 23 11
23 24 3
24 25 1
25 26 1
26 27 16
27 28 20
28 29 5
29 30 3
30 31 12
31 32 14
32 33 13
33 34 17
34 35 18
35 36 5
36 37 13
37 38 16
38 39 8
39 40 16
40 41 3
41 42 11
42 43 17
43 44 19
44 45 7
45 46 2
46 47 8
47 48 6
48 49 9
49 50 14
50 51 10
51 52 11
52 53 5
53 54 20
54 55 13
55 56 5
56 57 20
57 58 20
58 59 16
59 60 16
60 61 2
61 62 8
62 63 10
63 64 14
64 65 4
65 66 19
66 67 11
67 68 9
68 69 14
69 70 10
70 71 16
71 72 16
72 73 20
73 74 5
74 75 7
75 76 7
76 77 6
77 78 6
78 79 12
79 80 6
80 81 11
81 82 1
82 83 16
83 84 16
84 85 12
85 86 20
86 87 12
87 88 12
88 89 19
89 90 8
90 91 7
91 92 20
92 93 7
93 94 8
94 95 6
95 96 10
96 97 6
97 98 8
98 99 18
99 100 20
100 101 17
101 102 6
102 103 7
103 104 16
104 105 10
105 106 5
106 107 14
107 108 15
108 109 3
109 110 5
110 111 20
111 112 13
112 113 17
113 114 7
114 115 8
115 116 9
116 117 6
117 118 20
118 119 12
119 120 4
120 121 19
121 122 18
122 123 15
123 124 5
124 125 18
47 81 3
76 1 14
12 71 13
35 95 17
83 64 19
25 55 12
71 21 11
111 6 2
107 21 20
47 52 4
24 76 10
78 26 5
72 15 17
4 49 6
27 108 1
13 7 15
26 55 15
71 17 12
123 101 4
89 22 2
40 22 12
94 99 13
125 22 12
101 2 17
23 29 1
8 18 10
47 43 19
83 90 12
101 64 17
14 28 3
57 67 11
74 12 20
93 113 18
1 65 15
82 87 10
99 94 2
123 117 6
53 74 20
125 26 19
46 16 13
91 72 14
8 20 7
24 112 4
62 112 13
101 45 11
122 19 14
58 16 12
115 46 7
34 45 2
119 67 12
106 9 18
11 17 5
52 40 3
80 101 17
24 53 13
54 49 1
29 83 14
120 72 9
113 83 10
29 53 13
62 34 2
42 44 18
41 96 4
105 27 15
31 28 19
104 81 3
46 87 2
106 81 11
86 69 20
110 74 7
