152 15791
1 2 9
2 3 12
3 4 6
4 5 13
5 6 10
6 7 5
7 8 2
8 9 19
9 10 16
10 11 5
11 12 6
12 13 7
13 14 3
14 15 5
15 16 12
16 17 7
17 18 11
18 19 13
19 20 1
20 21 14
21 22 11
22 23 2
23 24 17
24 25 14
25 26 5
26 27 9
27 28 7
28 29 11
29 30 5
30 31 18
31 32 3
32 33 13
33 34 1
34 35 20
35 36 17
36 37 10
37 38 4
38 39 10
39 40 20
40 41 11
41 42 14
42 43 6
43 44 18
44 45 17
45 46 10
46 47 1
47 48 15
48 49 12
49 50 6
50 51 16
51 52 5
52 53 16
53 54 9
54 55 14
55 56 1
56 57 5
57 58 2
58 59 7
59 60 15
60 61 18
61 62 4
62 63 17
63 64 2
64 65 4
65 66 16
66 67 18
67 68 6
68 69 11
69 70 7
70 71 5
71 72 1
72 73 1
73 74 2
74 75 10
75 76 9
76 77 12
77 78 11
78 79 3
79 80 15
80 81 8
81 82 10
82 83 12
83 84 15
84 85 18
85 86 5
86 87 16
87 88 2
88 89 6
89 90 2
90 91 8
91 92 15
92 93 18
93 94 16
94 95 16
95 96 13
96 97 3
97 98 13
98 99 18
99 100 13
100 101 19
101 102 15
102 103 6
103 104 11
104 105 16
105 106 15
106 107 19
107 108 19
108 109 17
109 110 2
110 111 14
111 112 4
112 113 3
113 114 5
114 115 19
115 116 1
116 117 1
117 118 6
118 119 14
119 120 18
120 121 19
121 122 14
122 123 12
123 124 16
124 125 9
125 126 7
126 127 1
127 128 12
128 129 19
129 130 10
130 131 16
131 132 9
132 133 4
133 134 1
134 135 12
135 136 20
136 137 8
137 138 10
138 139 10
139 140 4
140 141 3
141 142 3
142 143 8
143 144 6
144 145 19
145 146 18
146 147 18
147 148 11
148 149 15
149 150 3
150 151 8
151 152 13
88 99 1
21 29 1
48 39 10
11 100 6
80 99 17
115 44 6
62 39 1
69 72 19
66 49 2
128 91 9
49 27 12
93 63 8
141 110 7
14 120 14
7 63 4
43 25 15
57 103 1
137 19 12
75 85 12
32 76 7
57 124 5
28 80 11
43 68 8
97 82 7
114 104 18
93 147 10
132 67 12
56 67 3
52 141 7
111 21 2
109 93 2
149 120 5
99 10 5
6 123 10
49 100 5
2 57 19
131 36 17
75 91 19
37 142 16
99 117 20
84 73 20
57 70 7
110 32 12
78 38 2
7 86 10
23 87 14
66 81 5
22 19 15
61 55 9
72 17 17
135 101 17
122 21 14
92 130 10
87 71 11
53 77 8
134 116 6
119 29 14
139 66 1
113 142 11
77 61 20
21 59 4
54 28 20
3 135 6
136 70 12
18 122 13
1 119 20
70 101 16
84 103 17
116 63 3
66 4 19
33 24 6
116 93 13
52 96 8
149 95 13
148 129 2
88 129 16
7 47 16
122 130 18
151 93 8
17 6 3
111 39 3
128 2 3
21 69 10
48 81 1
8 93 9
105 44 1
16 51 15
27 20 12
4 34 16
43 50 6
102 25 4
32 16 13
70 36 6
52 99 6
128 122 10
44 74 6
12 27 15
47 110 14
81 134 1
146 27 2
34 126 17
66 90 14
101 139 1
64 117 20
23 107 19
127 59 14
17 38 17
126 19 17
123 59 2
13 48 12
138 84 9
76 22 1
62 26 12
26 6 13
76 44 11
70 18 1
92 34 6
9 36 18
83 73 19
147 144 12
78 128 7
99 77 9
141 88 14
146 12 13
53 42 3
87 131 14
136 120 13
7 144 20
17 75 8
39 69 8
62 146 7
25 109 15
49 97 7
130 106 10
135 6 16
57 92 10
70 76 13
122 98 13
73 114 3
80 16 15
95 78 4
86 102 16
152 14 16
34 7 5
80 141 11
15 45 14
80 130 9
144 115 15
32 35 20
26 131 8
88 73 5
8 6 14
35 22 3
7 71 5
99 150 6
61 12 18
99 107 16
91 99 10
13 146 5
65 20 15
132 107 19
124 114 17
97 13 2
83 35 20
75 133 6
72 42 9
114 4 4
149 94 14
10 123 19
58 35 6
100 14 9
63 1 2
47 97 2
52 43 16
143 117 1
96 37 6
45 14 5
116 26 10
133 35 4
143 109 18
53 72 11
69 134 7
62 28 7
84 95 9
123 102 14
23 45 6
116 105 19
76 68 4
130 48 14
1 55 14
75 123 18
25 39 7
128 116 19
38 63 5
143 34 18
76 56 11
61 36 7
59 111 7
98 88 6
35 105 4
97 43 18
78 67 4
40 58 4
62 96 2
27 102 15
108 25 3
98 101 2
57 23 4
83 120 4
20 18 12
28 130 2
5 55 12
37 111 10
48 20 13
121 62 2
70 118 11
18 43 7
40 94 1
23 81 5
56 36 12
34 33 16
104 113 16
62 114 19
98 58 16
23 103 19
72 20 16
67 53 14
133 108 15
116 146 5
151 37 6
48 100 2
24 48 7
137 58 20
42 37 19
144 91 18
27 142 8
79 83 9
34 134 10
27 97 7
75 111 3
78 86 17
125 60 17
47 132 14
83 90 17
22 135 19
27 79 1
126 35 14
107 104 8
67 30 19
41 8 15
63 85 12
107 74 7
66 69 18
19 10 19
2 112 14
96 5 3
130 82 5
97 50 7
142 92 19
149 34 9
97 45 16
34 131 11
17 45 19
83 79 16
17 80 12
10 23 8
112 16 9
32 112 10
34 101 9
61 113 2
13 74 18
72 107 1
130 124 9
121 54 15
120 86 3
121 90 11
1 31 3
112 36 20
77 133 8
53 126 5
126 12 20
97 28 6
84 120 2
137 122 5
86 68 8
45 37 1
116 37 15
98 12 19
113 104 11
37 5 16
141 146 11
28 90 6
29 37 9
14 21 7
119 123 18
30 15 6
46 146 6
93 91 10
23 52 17
101 104 5
152 108 7
63 135 20
16 12 17
105 41 17
11 23 11
136 68 6
146 114 19
71 70 18
24 92 9
81 40 16
19 75 17
1 115 1
28 23 5
85 119 15
107 50 14
39 147 11
152 85 6
69 146 9
24 106 1
79 17 10
133 51 16
114 52 2
126 95 16
90 27 7
80 150 8
37 36 6
20 51 2
73 119 16
13 6 9
18 84 18
43 80 8
142 57 15
68 30 10
15 135 8
97 62 17
92 115 4
81 150 6
19 86 4
102 98 13
2 131 20
71 37 4
39 27 4
57 110 14
34 124 4
54 85 14
70 24 4
122 105 9
87 123 6
19 88 19
107 105 14
143 24 10
122 62 4
5 134 9
70 32 17
118 85 17
91 18 8
42 139 12
142 74 14
23 108 9
17 62 6
142 68 13
152 53 2
51 58 15
60 127 6
56 108 18
136 62 16
87 103 18
143 108 3
48 146 14
41 11 16
2 152 7
138 151 12
31 50 5
73 125 11
147 28 3
16 11 4
55 97 11
97 103 2
75 151 12
9 55 2
36 72 13
130 57 12
125 103 1
41 39 9
100 33 4
114 49 6
37 119 18
33 77 10
31 84 2
133 54 8
12 43 6
124 99 20
56 46 9
15 7 9
136 44 15
66 122 18
98 46 19
144 92 17
68 127 2
121 82 9
11 3 9
110 114 16
19 106 19
26 10 18
85 49 15
54 14 20
116 132 3
108 139 2
65 70 16
138 38 9
102 65 7
13 30 8
118 52 5
144 57 17
56 128 11
69 143 2
64 150 9
50 111 13
135 63 18
20 95 16
100 146 9
137 6 18
57 139 9
1 130 6
46 33 17
8 117 19
85 28 4
149 93 11
110 75 17
71 111 19
134 58 12
83 59 13
